Corr	Sim	NN
33.09	29.89	28.52
7.93	8.37	8.34
3.18	2.46	2.53
10.10	7.67	8.06
148.21	156.43	157.86
20.91	22.82	22.67
42.95	29.83	30.48
8.64	7.26	7.31
14.16	16.34	16.49
48.54	40.08	38.31
35.99	40.74	39.55
4.47	3.67	4.07
17.43	18.07	17.53
15.76	22.96	22.93
8.48	7.20	7.03
14.45	10.29	10.49
4.49	3.73	3.76
35.63	36.75	36.55
67.82	60.92	60.27
137.78	130.27	136.46
15.89	15.31	16.25
7.26	4.85	5.02
136.71	119.25	124.53
4.14	3.47	3.49
29.21	35.76	36.19
3.19	2.48	2.55
30.91	18.53	20.01
6.64	4.96	4.79
12.38	9.72	9.56
15.91	10.00	10.24
139.13	145.66	148.86
11.63	9.17	9.51
5.30	3.64	3.74
19.99	19.21	20.11
32.74	24.88	25.69
21.36	26.48	27.18
34.93	33.66	33.70
15.60	12.89	13.55
5.82	4.39	4.62
6.90	6.20	6.22
4.47	3.51	3.70
5.61	4.87	5.32
11.01	7.28	7.50
92.26	71.11	71.30
51.20	51.28	51.09
25.06	18.97	18.51
10.00	11.27	11.22
14.29	14.74	14.50
27.10	29.40	29.56
30.21	20.40	20.74
12.72	10.98	10.83
10.27	11.86	11.96
16.09	19.34	19.19
27.40	23.51	25.47
25.21	24.18	23.92
12.95	10.90	11.40
17.22	16.28	16.02
15.58	13.41	13.48
7.72	5.73	6.06
6.97	5.84	5.93
3.49	2.55	2.70
13.15	10.24	10.57
3.88	2.80	3.08
9.95	7.16	7.24
4.67	3.41	3.74
4.66	3.38	3.54
20.75	23.28	23.91
25.46	20.71	20.61
6.29	5.62	5.36
15.27	12.58	12.62
8.93	6.80	6.55
11.60	9.08	9.30
22.28	18.03	17.89
17.68	17.02	17.96
11.09	7.33	7.75
7.74	5.79	6.06
89.12	58.91	62.85
23.62	28.29	28.62
29.13	32.82	32.20
16.18	11.26	11.76
13.62	9.97	10.52
42.43	31.69	31.32
67.82	56.36	57.29
4.13	3.34	3.49
10.37	6.56	6.91
43.31	30.99	31.61
27.52	24.23	24.38
11.73	9.75	9.77
64.48	45.50	47.74
21.38	19.45	19.39
31.43	40.00	41.59
45.06	31.59	32.44
24.46	21.36	21.95
70.83	58.16	60.83
24.82	18.29	17.97
18.01	17.97	18.99
12.16	10.48	10.20
12.04	7.88	8.34
24.82	17.18	17.00
11.31	9.58	9.15
40.53	54.27	53.91
16.65	17.16	16.83
20.44	20.29	19.71
25.05	22.68	21.91
26.57	26.86	26.47
15.85	13.84	15.59
9.15	6.90	7.20
9.97	11.17	11.25
8.81	7.80	7.93
43.78	33.81	34.19
23.37	27.32	26.63
18.16	19.03	20.02
19.08	18.54	19.52
29.53	43.25	44.21
22.82	15.24	15.72
4.42	3.28	3.47
4.49	3.86	4.03
30.31	20.50	21.01
21.14	13.81	14.40
38.42	39.57	40.16
47.44	54.33	53.17
30.90	31.94	31.41
25.23	19.39	19.13
9.81	8.01	8.15
24.46	27.58	27.39
4.73	3.87	3.82
9.58	6.43	6.69
22.82	16.15	17.18
10.84	7.94	8.29
15.73	16.15	15.39
42.95	32.52	32.31
19.63	12.89	13.87
25.07	17.27	17.30
3.72	3.13	3.37
7.21	4.79	4.88
16.90	19.35	19.73
51.97	53.20	53.13
7.69	5.27	5.42
5.65	4.99	4.87
43.58	33.28	32.84
6.40	4.90	4.91
5.70	4.11	4.16
16.38	13.68	13.52
16.06	12.35	11.82
7.74	5.05	5.40
